103	71	25.994	1	21
103	166	285.282	1	21
194	103	937.674	1	21
261	105	38.064	3	22
105	191	120.922	3	22
87	106	16.468	3	23
187	50	42.258	1	24
188	52	36.973	1	24
109	104	153.784	1	25
190	109	558.4	1	25
109	12	20.258	1	26
190	39	37.479	1	25
166	190	360.665	1	25
191	40	30.421	1	27
193	53	27.536	1	27
194	54	39.715	1	21
195	55	26.074	3	22
90	194	461.911	1	21
197	56	29.182	2	28
81	225	12.5	3	23
200	57	46.779	1	29
199	58	29.025	2	28
201	41	41.46	1	24
202	201	130.832	3	23
203	59	30.822	3	30
82	226	12.5	3	23
84	202	81.944	3	23
204	203	126.574	3	30
204	61	30.169	3	30
205	62	34.785	1	31
206	204	171.756	3	30
206	63	30.399	3	30
207	64	29.581	3	23
209	102	155.863	3	32
92	206	168.252	3	30
214	65	35.295	3	32
216	66	30.076	3	32
95	67	339.084	1	26
203	60	321.665	1	33
259	163	12.5	3	22
91	224	12.12	3	34
196	198	186.19	3	35
200	196	577.319	3	23
83	165	13.823	3	35
205	200	279.715	3	23
207	205	178.841	3	23
85	207	115.104	3	23
93	209	167.932	3	32
184	185	109.84	3	32
185	101	455.693	3	32
249	184	198.377	3	32
186	187	193.753	3	32
187	188	1080.54	3	32
260	218	12.5	3	32
191	193	589.858	3	22
193	195	436.671	3	22
256	197	208.867	3	22
197	199	452.186	3	22
199	210	678.426	3	22
86	97	12.476	3	32
213	211	313.916	3	32
215	213	377.562	3	32
214	215	50.699	3	32
216	214	223.552	3	32
210	217	220.248	3	22
211	219	191.025	3	32
74	98	13.885	3	32
219	220	60.596	3	32
77	99	13.339	3	32
75	100	11.751	3	32
254	222	175.871	3	32
251	189	296.257	3	32
217	216	304.754	3	22
252	212	14.459	3	32
89	192	12.178	3	32
253	181	13.728	3	37
181	182	9.327	3	22
250	186	161.084	3	32
178	3	12.5	3	46
179	2	12.5	3	46
231	4	12.5	3	46
236	5	12.5	3	46
240	6	12.499	3	46
7	242	11.996	3	46
73	7	12.5	3	46
244	8	12.973	3	46
80	9	12.5	1	47
9	180	12.5	1	47
