    1.0000    2.0000    1.8500		721	
    2.0000    3.0000    0.9600		722
    3.0000    4.0000    0.3600		723
    3.0000   14.0000    0.4000		724
    3.0000   17.0000    1.3200		722
    4.0000    5.0000    0.5200		723
    5.0000    6.0000    0.8000		723		
    5.0000   12.0000    0.0800		724
    6.0000    7.0000    0.9200		724
    6.0000   10.0000    0.6000		723
    7.0000    8.0000    0.1200		724
    7.0000    9.0000    0.7600		724
   10.0000   11.0000    0.2800		724
   12.0000   13.0000    0.5200		724
   14.0000   15.0000    0.2400		724
   14.0000   16.0000    0.3200		724
   17.0000   18.0000    0.2400		724
   17.0000   22.0000    0.6000		723
   18.0000   19.0000    0.2800		723
   19.0000   20.0000    0.2800		724
   19.0000   21.0000    0.2000		724
   22.0000   23.0000    0.2000		723
   23.0000   24.0000    0.6000		723
   23.0000   25.0000    1.0000		1
   23.0000   26.0000    0.3200		723
   26.0000   27.0000    0.3200		724
   26.0000   28.0000    0.3200		723
   28.0000   29.0000    0.5600		723
   29.0000   30.0000    0.5200		724
   29.0000   33.0000    0.6400		723
   30.0000   31.0000    0.2000		724
   30.0000   32.0000    1.2800		724
   33.0000   34.0000    0.4000		723
   34.0000   35.0000    0.4000		723
   35.0000   36.0000    0.2000		724
   35.0000   37.0000    0.4000		723
    4.0000    9.0000    0.5200		723
   16.0000   19.0000    0.2800		723
   21.0000   31.0000    0.2000		724
   13.0000   26.0000    0.3200		723
   24.0000   37.0000    0.4000		723
   11.0000   24.0000    0.2800		724
